id,carat,cut,color,clarity,depth,table,price,x,y,z
0,1.0,Premium,F,SI2,62.9,59.0,4155,6.39,6.3,3.99
1,1.16,Premium,F,SI2,61.9,59.0,4476,6.71,6.66,4.14
2,0.74,Very Good,I,VS1,62.3,60.0,2491,5.78,5.8,3.61
3,2.17,Premium,D,SI2,62.2,59.0,16472,8.28,8.34,5.17
4,0.31,Good,G,VS2,57.6,62.0,507,4.46,4.5,2.58
5,0.45,Fair,F,VS2,64.2,58.0,1037,4.9,4.75,3.1
6,0.3,Good,H,SI1,63.1,56.0,432,4.27,4.29,2.7
7,0.9,Very Good,D,SI2,61.2,54.0,3975,6.25,6.29,3.84
8,1.22,Premium,H,VS1,63.0,59.0,6661,6.8,6.73,4.26
9,0.78,Very Good,F,SI1,62.4,55.0,3267,5.85,5.89,3.66
10,0.3,Ideal,F,IF,61.4,56.0,886,4.32,4.34,2.66
11,0.34,Ideal,H,VS2,61.7,57.0,689,4.48,4.46,2.76
12,0.9,Very Good,E,SI2,63.2,61.0,3239,6.06,5.99,3.81
13,0.91,Premium,G,SI2,61.3,60.0,3423,6.17,6.2,3.79
14,0.31,Ideal,E,VS1,61.6,57.0,734,4.32,4.35,2.67
15,1.0,Premium,F,SI2,62.9,56.0,4333,6.42,6.36,4.02
16,0.34,Premium,H,VS2,59.0,59.0,537,4.55,4.61,2.7
17,2.17,Very Good,I,SI1,62.1,61.0,15760,8.24,8.27,5.13
18,0.53,Ideal,G,VVS1,60.8,56.0,2005,5.22,5.24,3.18
19,0.91,Very Good,D,SI2,61.5,56.0,4123,6.22,6.27,3.84
20,0.7,Premium,F,VS2,63.0,61.0,2648,5.64,5.59,3.54
21,0.9,Good,F,SI2,57.9,62.0,3470,6.23,6.35,3.64
22,0.9,Ideal,G,VS1,61.8,56.0,4931,6.19,6.24,3.84
23,0.71,Ideal,G,SI2,61.5,55.0,2264,5.74,5.78,3.54
24,0.5,Good,E,VS1,61.0,61.0,1714,5.07,5.12,3.11
25,2.22,Ideal,J,VS1,61.8,59.0,16689,8.34,8.37,5.16
26,0.91,Premium,G,VVS2,61.8,58.0,5259,6.16,6.24,3.83
27,1.11,Ideal,D,VVS1,62.1,55.0,14584,6.63,6.64,4.12
28,1.59,Premium,E,SI2,60.5,59.0,9082,7.59,7.55,4.58
29,1.1,Ideal,I,SI2,61.7,56.0,3216,6.65,6.6,4.09
30,0.57,Very Good,F,SI2,63.5,56.0,1397,5.28,5.25,3.34
31,2.21,Ideal,G,SI2,61.9,55.0,18276,8.4,8.36,5.19
32,1.03,Ideal,E,SI1,58.9,57.0,4873,6.62,6.56,3.88
33,0.34,Ideal,I,IF,62.2,53.5,668,4.5,4.52,2.8
34,0.31,Premium,H,VVS2,61.4,59.0,625,4.35,4.38,2.68
35,0.23,Very Good,E,VVS1,62.6,58.0,472,3.96,4.0,2.49
36,0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51
37,0.33,Ideal,F,VVS2,62.4,56.0,1067,4.43,4.41,2.76
38,0.4,Ideal,E,SI1,61.9,57.0,696,4.74,4.76,2.94
39,1.01,Good,G,VS1,57.7,63.0,6613,6.55,6.65,3.81
40,1.09,Ideal,J,VS2,43.0,54.0,4778,6.53,6.55,4.12
41,0.91,Premium,H,SI1,60.9,58.0,3414,6.26,6.22,3.8
42,1.2,Good,D,SI2,63.7,52.0,6344,6.72,6.68,4.27
43,0.39,Very Good,G,SI2,62.7,54.0,581,4.64,4.71,2.93
44,0.31,Good,E,VS1,59.0,63.0,600,4.44,4.47,2.63
45,0.47,Ideal,H,VS2,62.0,54.0,1006,4.99,5.01,3.1
46,1.02,Premium,F,I1,59.6,59.0,2452,6.51,6.45,3.87
47,2.01,Premium,H,SI2,62.2,61.0,15673,8.08,8.04,5.01
48,0.5,Very Good,E,VVS2,61.7,61.0,2083,5.09,5.12,3.15
49,1.21,Premium,F,SI1,60.0,60.0,6659,6.96,6.91,4.16
50,1.0,Very Good,E,SI1,63.3,57.0,5051,6.3,6.36,4.01
51,0.51,Premium,F,SI2,58.9,60.0,1195,5.24,5.19,3.07
52,0.55,Good,E,SI1,63.3,54.0,1138,5.21,5.24,3.31
53,1.53,Ideal,H,SI1,62.9,60.0,10145,7.36,7.28,4.61
54,0.36,Ideal,E,VS2,61.1,57.0,673,4.56,4.61,2.8
55,1.7,Ideal,G,VS2,61.3,57.0,15797,7.6,7.67,4.68
56,0.54,Good,G,VS1,59.0,62.0,1640,5.3,5.28,3.12
57,1.76,Very Good,J,SI2,60.9,60.0,9053,7.79,7.83,4.76
58,0.96,Very Good,F,SI1,60.6,62.0,4560,6.35,6.39,3.86
59,1.13,Ideal,I,SI2,62.0,55.0,5378,6.68,6.7,4.15
60,1.34,Very Good,H,VVS2,59.7,60.0,9735,7.19,7.22,4.3
61,0.7,Premium,H,SI1,59.0,60.0,2331,5.86,5.81,3.44
62,1.03,Very Good,D,SI1,62.6,58.0,5498,6.44,6.49,4.05
63,1.0,Ideal,F,SI1,62.4,55.0,4939,6.45,6.37,4.0
64,0.41,Ideal,G,VS2,62.7,56.0,827,4.72,4.76,2.97
65,0.71,Very Good,E,SI1,62.9,57.0,2573,5.66,5.7,3.57
66,0.91,Very Good,G,SI2,63.4,60.0,3891,6.11,6.06,3.86
67,1.62,Premium,G,VS2,62.3,58.0,13702,7.54,7.49,4.68
68,0.9,Very Good,F,SI1,62.3,57.0,5122,6.13,6.16,3.83
69,0.74,Ideal,J,SI1,61.7,56.0,1963,5.81,5.85,3.6
70,2.08,Ideal,I,SI2,62.3,56.0,15132,8.16,8.22,5.1
71,0.33,Premium,G,VVS1,62.1,58.0,868,4.4,4.43,2.74
72,0.58,Ideal,G,VS2,61.1,55.0,1641,5.45,5.42,3.32
73,0.7,Very Good,G,SI2,59.0,62.0,2872,5.79,5.81,3.42
74,1.02,Very Good,F,SI2,61.1,62.0,3984,6.49,6.54,3.98
75,1.02,Premium,G,VS2,61.5,59.0,5346,6.45,6.4,3.95
76,1.69,Premium,F,SI2,62.4,58.0,9275,7.65,7.57,4.75
77,0.51,Very Good,H,VS2,63.5,60.0,1268,5.04,5.01,3.19
78,1.08,Ideal,H,VS1,62.0,55.0,6562,6.56,6.6,4.08
79,0.91,Good,J,VS2,61.3,61.0,3290,6.18,6.25,3.81
80,1.2,Good,D,VS2,62.4,60.0,8521,6.69,6.77,4.2
81,0.72,Ideal,H,VVS2,61.7,55.0,3417,5.77,5.8,3.57
82,1.02,Very Good,E,SI1,58.9,58.0,5232,6.51,6.54,3.84
83,1.52,Ideal,J,SI1,61.9,57.0,7491,7.37,7.33,4.55
84,0.3,Very Good,E,SI1,60.6,56.0,526,4.35,4.37,2.64
85,2.03,Premium,I,VS2,58.5,60.0,16309,8.37,8.34,4.89
86,0.7,Good,E,SI2,63.7,55.0,2435,5.63,5.58,3.57
87,0.33,Ideal,E,VVS1,61.8,57.0,1052,4.43,4.4,2.73
88,0.32,Very Good,H,VVS1,62.9,57.0,730,4.33,4.38,2.74
89,1.15,Very Good,D,VS2,61.4,57.0,7662,6.7,6.78,4.14
90,1.85,Very Good,H,I1,63.3,56.0,5688,7.8,7.75,4.92
91,0.5,Ideal,F,VVS2,62.0,55.0,2160,5.12,5.1,3.17
92,1.2,Good,E,VS2,61.8,61.0,8563,6.69,6.71,4.14
93,0.9,Good,F,SI1,62.4,55.0,3898,6.17,6.21,3.86
94,1.5,Very Good,J,VS2,60.5,63.0,7308,7.32,7.27,4.41
95,0.26,Premium,E,VVS1,60.9,59.0,635,4.09,4.12,2.5
96,1.06,Very Good,H,VS1,61.9,58.0,5627,6.57,6.49,4.04
97,1.52,Premium,G,VS2,61.9,56.0,13282,7.39,7.28,4.54
98,0.7,Ideal,J,VS2,61.9,57.0,1974,5.65,5.69,3.51
99,1.02,Very Good,E,SI1,60.5,63.0,4901,6.54,6.48,3.94
100,0.56,Premium,E,VS1,62.6,58.0,1930,5.23,5.28,3.29
101,2.12,Premium,E,SI2,62.4,58.0,13884,8.22,8.18,5.12
102,0.9,Premium,H,VS1,62.1,59.0,4234,6.14,6.09,3.8
103,0.71,Ideal,D,SI2,62.4,55.0,2480,5.71,5.74,3.57
104,1.25,Ideal,I,VS2,60.0,57.0,4795,7.07,7.02,4.23
105,0.32,Ideal,E,VS2,61.4,57.0,608,4.4,4.46,2.72
106,0.72,Very Good,H,SI2,63.3,57.0,1698,5.7,5.67,3.6
107,0.92,Ideal,D,SI1,62.2,56.0,4561,6.23,6.27,3.89
108,2.02,Very Good,D,SI2,60.6,57.0,15334,8.19,8.25,4.98
109,1.5,Premium,I,VS2,61.4,58.0,11655,7.28,7.24,4.46
110,1.51,Ideal,G,VS2,62.2,59.0,13163,7.28,7.34,4.55
111,0.7,Very Good,G,I1,61.5,63.0,1047,5.73,5.65,3.5
112,0.7,Very Good,D,SI1,58.3,62.0,2563,5.78,5.84,3.39
113,1.11,Ideal,I,VS1,61.0,57.0,6077,6.68,6.72,4.09
114,1.0,Very Good,G,I1,62.5,62.0,3011,6.42,6.35,3.99
115,0.5,Ideal,F,VS2,62.7,56.0,1691,5.07,5.1,3.19
116,1.09,Good,D,VS1,63.9,57.0,7493,6.57,6.49,4.17
117,0.8,Very Good,G,SI2,62.0,55.0,2915,5.94,6.01,3.7
118,0.9,Very Good,D,SI2,63.0,58.0,3534,6.12,6.16,3.87
119,0.31,Good,G,VVS1,58.0,62.0,761,4.42,4.47,2.58
120,1.09,Ideal,G,VVS2,61.5,57.0,8970,6.62,6.65,4.08
121,0.66,Good,H,VS1,59.8,60.9,1978,5.62,5.68,3.38
122,0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96
123,0.31,Ideal,J,VS1,61.7,55.1,429,4.36,4.39,2.7
124,0.72,Premium,F,SI1,62.6,59.0,2318,5.74,5.69,3.58
125,1.51,Premium,G,SI1,62.3,59.0,7577,7.29,7.21,4.52
126,1.55,Very Good,H,SI2,62.5,61.0,8174,7.31,7.34,4.58
127,0.34,Ideal,F,VS2,62.9,55.0,880,4.48,4.46,2.81
128,0.41,Very Good,G,IF,60.9,59.0,1197,4.8,4.85,2.94
129,0.24,Ideal,H,VVS2,61.5,57.0,504,4.0,4.03,2.47
130,0.5,Very Good,E,VVS2,60.9,59.0,2003,5.07,5.11,3.1
131,1.53,Ideal,J,VS2,61.4,58.0,7550,7.35,7.43,4.54
132,0.31,Premium,D,SI2,61.8,60.0,593,4.37,4.33,2.69
133,0.41,Ideal,I,VVS1,61.7,57.0,875,4.73,4.76,2.93
134,1.01,Premium,F,VS2,61.1,59.0,6097,6.44,6.35,3.91
135,1.22,Ideal,I,VS2,59.5,57.0,5761,6.91,6.97,4.13
136,1.01,Good,E,VS2,61.2,62.0,5972,6.34,6.38,3.89
137,1.01,Premium,G,VS2,60.7,61.0,5864,6.46,6.42,3.91
138,0.37,Ideal,E,VS2,61.6,57.0,1041,4.65,4.61,2.85
139,0.41,Premium,D,VVS2,61.2,62.0,1356,4.82,4.78,2.94
140,0.56,Ideal,H,VS1,61.8,55.0,1770,5.29,5.33,3.28
141,0.34,Premium,D,VS2,59.3,59.0,881,4.59,4.55,2.71
142,0.31,Ideal,H,VS2,61.3,56.0,507,4.36,4.38,2.68
